Original_Structure_Number,Field_Structure_Number,Lamp_Condition_ID,Pole_Inspection_Date,Work_Packet
2119063E,2119063E,ON,2_21_07 12-39-03 AM,Oj_102
4474162E,4474162E,ON,2_21_07 12-39-03 AM,Oj_102
2119080E,2119080E,ON,2_21_07 12-39-03 AM,Oj_102
4288068E,4288068E,ON,2_21_07 12-39-03 AM,Oj_102
4288068E,4288068E,ON,2_21_07 12-39-03 AM,Oj_102
2333412E,2333412E,ON,2_21_07 12-39-03 AM,Oj_102
1945461E,1945461E,ON,2_21_07 12-39-03 AM,Oj_102
2318385E,2318385E,ON,2_21_07 12-39-03 AM,Oj_102
2257109E,2257109E,ON,2_21_07 12-39-03 AM,Oj_102
1911632E,1911632E,ON,2_21_07 12-39-03 AM,Oj_102
2258672E,2258672E,ON,2_21_07 12-39-03 AM,Oj_102
2120102E,2120102E,ON,2_21_07 12-39-03 AM,Oj_102
2318305E,2318305E,ON,2_21_07 12-39-03 AM,Oj_102
2149219E,2149219E,ON,2_21_07 12-39-03 AM,Oj_102
2258273E,2258273E,ON,2_21_07 12-39-03 AM,Oj_102
2318766E,2318766E,ON,2_21_07 12-39-03 AM,Oj_102
2149212E,2149212E,ON,2_21_07 12-39-03 AM,Oj_102
2148959E,2148959E,ON,2_21_07 12-39-03 AM,Oj_102
2149202E,2149202E,ON,2_21_07 12-39-03 AM,Oj_102
4229478E,4229478E,ON,2_21_07 12-39-03 AM,Oj_102
4548629E,4548629E,ON,2_21_07 12-39-03 AM,Oj_102
2120105E,2120105E,ON,2_21_07 12-39-03 AM,Oj_102
2148442E,2148442E,ON,2_21_07 12-39-03 AM,Oj_102
1956698E,1956698E,ON,2_21_07 12-39-03 AM,Oj_102
2318306E,2318306E,ON,2_21_07 12-39-03 AM,Oj_102
2195840E,2195840E,ON,2_21_07 12-39-03 AM,Oj_102
2333555E,2333555E,OFF,2_20_07 10-38-15 PM,Oj_102
2119684E,2119684E,ON,2_21_07 12-39-03 AM,Oj_102
2119914E,2119914E,ON,2_21_07 12-39-04 AM,Oj_102
2318388E,2318388E,ON,2_21_07 12-39-04 AM,Oj_102
2257969E,2257969E,ON,2_21_07 12-39-04 AM,Oj_102
4319201E,4319201E,ON,2_21_07 12-39-04 AM,Oj_102
2251562E,2251562E,OFF,2_20_07 8-44-08 PM,Oj_102
1911623E,1911623E,ON,2_21_07 12-39-04 AM,Oj_102
2251564E,2251564E,ON,2_21_07 12-39-04 AM,Oj_102
4400692E,4400692E,ON,2_21_07 12-39-04 AM,Oj_102
