Original_Structure_Number,Field_Structure_Number,Lamp_Condition_ID,Pole_Inspection_Date
4543382E,4543382E,ON,6_4_09 12-51-25 AM
4618538E,4618538E,ON,6_4_09 12-51-25 AM
4633892E,4633892E,ON,6_4_09 12-51-25 AM
4618915E,4618915E,ON,6_4_09 12-51-25 AM
4633040E,4633040E,ON,6_4_09 12-51-25 AM
4618982E,4618982E,ON,6_4_09 12-51-25 AM
4609112E,4609112E,ON,6_4_09 12-51-25 AM
4609111E,4609111E,ON,6_4_09 12-51-25 AM
4633454E,4633454E,ON,6_4_09 12-51-25 AM
4609118E,4609118E,ON,6_4_09 12-51-25 AM
4609117E,4609117E,ON,6_4_09 12-51-25 AM
4436322E,4436322E,ON,6_4_09 12-51-25 AM
4609116E,4609116E,ON,6_4_09 12-51-25 AM
4609115E,4609115E,ON,6_4_09 12-51-25 AM
4609114E,4609114E,ON,6_4_09 12-51-25 AM
4609113E,4609113E,ON,6_4_09 12-51-25 AM
4548634E,4548634E,ON,6_4_09 12-51-25 AM
4548633E,4548633E,ON,6_4_09 12-51-25 AM
4548632E,4548632E,ON,6_4_09 12-51-25 AM
4548631E,4548631E,ON,6_4_09 12-51-25 AM
4548630E,4548630E,ON,6_4_09 12-51-25 AM
4580144E,4580144E,ON,6_4_09 12-51-25 AM
4580143E,4580143E,ON,6_4_09 12-51-25 AM
4580101E,4580101E,ON,6_4_09 12-51-25 AM
4548629E,4548629E,ON,6_4_09 12-51-25 AM
4548627E,4548627E,ON,6_4_09 12-51-25 AM
4548626E,4548626E,ON,6_4_09 12-51-25 AM
4633901E,4633901E,ON,6_4_09 12-51-25 AM
4580142E,4580142E,ON,6_4_09 12-51-25 AM
4580141E,4580141E,ON,6_4_09 12-51-25 AM
4580140E,4580140E,ON,6_4_09 12-51-25 AM
4580139E,4580139E,ON,6_4_09 12-51-25 AM
4580138E,4580138E,ON,6_4_09 12-51-25 AM
4392774E,4392774E,ON,6_4_09 12-51-25 AM
4392774E,4392774E,ON,6_4_09 12-51-25 AM
4474774E,4474774E,ON,6_4_09 12-51-25 AM
4474773E,4474773E,ON,6_4_09 12-51-25 AM
4474772E,4474772E,ON,6_4_09 12-51-25 AM
4474770E,4474770E,ON,6_4_09 12-51-25 AM
4474767E,4474767E,OFF,6_3_09 11-10-39 PM
2149306E,2149306E,ON,6_4_09 12-51-25 AM
2149128E,2149128E,ON,6_4_09 12-51-25 AM
2149127E,2149127E,ON,6_4_09 12-51-25 AM
2120036E,2120036E,ON,6_4_09 12-51-25 AM
2149129E,2149129E,ON,6_4_09 12-51-25 AM
2196227E,2196227E,ON,6_4_09 12-51-25 AM
2120037E,2120037E,ON,6_4_09 12-51-25 AM
2196228E,2196228E,ON,6_4_09 12-51-25 AM
2149308E,2149308E,ON,6_4_09 12-51-25 AM
2120050E,2120050E,ON,6_4_09 12-51-25 AM
2120035E,2120035E,ON,6_4_09 12-51-25 AM
2120049E,2120049E,ON,6_4_09 12-51-25 AM
2196225E,2196225E,ON,6_4_09 12-51-25 AM
2119845E,2119845E,ON,6_4_09 12-51-25 AM
2119845E,2119845E,ON,6_4_09 12-51-25 AM
2196226E,2196226E,ON,6_4_09 12-51-25 AM
2120047E,2120047E,OFF,6_3_09 10-03-18 PM
2149307E,2149307E,ON,6_4_09 12-51-25 AM
2119844E,2119844E,ON,6_4_09 12-51-25 AM
2119844E,2119844E,ON,6_4_09 12-51-25 AM
2119842E,2119842E,ON,6_4_09 12-51-25 AM
2119843E,2119843E,ON,6_4_09 12-51-25 AM
2119843E,2119843E,ON,6_4_09 12-51-25 AM
2196498E,2196498E,ON,6_4_09 12-51-25 AM
4170204E,4170204E,ON,6_4_09 12-51-25 AM
4153509E,4153509E,ON,6_4_09 12-51-25 AM
2196496E,2196496E,ON,6_4_09 12-51-25 AM
4169980E,4169980E,ON,6_4_09 12-51-25 AM
2149208E,2149208E,ON,6_4_09 12-51-25 AM
2149207E,2149207E,ON,6_4_09 12-51-25 AM
2149210E,2149210E,ON,6_4_09 12-51-25 AM
CONV485275,CONV485275,ON,6_4_09 12-51-25 AM
2149211E,2149211E,ON,6_4_09 12-51-25 AM
CONV485246,CONV485246,ON,6_4_09 12-51-25 AM
2149206E,2149206E,ON,6_4_09 12-51-25 AM
2149205E,2149205E,ON,6_4_09 12-51-25 AM
2149204E,2149204E,ON,6_4_09 12-51-25 AM
2119032E,2119032E,ON,6_4_09 12-51-25 AM
2149203E,2149203E,ON,6_4_09 12-51-25 AM
4153508E,4153508E,ON,6_4_09 12-51-25 AM
4153512E,4153512E,ON,6_4_09 12-51-25 AM
4170247E,4170247E,ON,6_4_09 12-51-25 AM
